52019,42019,32019,22019,12019,122018,112018,102018,92018,82018,72018,62018,52018,42018,32018,22018,12018,122017,112017,102017,92017,82017,72017,62017,52017,42017,32017,22017,12017,122016,112016,102016,92016,82016,72016,62016,52016,42016,32016,22016,12016,122015,112015,102015,92015,82015,72015,62015,52015,42015,32015,22015,12015,122014,112014,102014,92014,82014,72014,62014,52014,42014,32014,22014,12014,122013,112013,102013,92013,82013,72013,62013,52013,42013,32013,22013,12013,122012,112012,102012,92012,82012,72012,62012,52012,42012,32012,22012,12012,122011,112011,102011,92011,82011,72011,62011,52011,42011,32011,22011,12011,122010,112010,102010,92010,82010,72010,62010,52010,42010,32010,22010,12010,122009,112009,102009,92009,82009,72009,62009,52009,42009,32009,22009,12009,122008,112008,102008,92008,82008,72008,62008,52008,42008,32008,22008,12008,122007,112007,102007,92007,82007,72007,62007,52007,42007,32007,22007,12007,122006,112006,102006,92006,82006,72006,62006,52006,42006,32006,22006,12006,122005
LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MRCO IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MMFS IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MM IS,MM IS,MM IS,MM IS,MM IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MM IS,MM IS,MM IS,MM IS,MM IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,LPC IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MBI IS,MBI IS,MBI IS,MBI IS,MBI IS,MBI IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MSIL IS,MSIL IS,MSIL IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,OFSS IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,NTPC IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIPCL IS,NIBP IS,NIBP IS,NIBP IS,NIPCL IS,NIPCL IS,NIPCL IS,NIBP IS,NIBP IS,NIBP IS
LTFH IS,LTFH IS,LTFH IS,LTFH IS,LTFH IS,LTFH IS,LTFH IS,LTFH IS,LTFH IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSS IS,MSS IS,MSS IS,MSS IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSIL IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,LT IS,LT IS,LT IS,LT IS,LT IS,LT IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NACL IS,NACL IS,NACL IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS,PATNI IS,PATNI IS,PATNI IS,ONGC IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIRMA IS,NIPCL IS,NIPCL IS,NIPCL IS,NIRMA IS,NIRMA IS,NIRMA IS,NIPCL IS,NIPCL IS,NIPCL IS
MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,MSS IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MM IS,MM IS,MM IS,MM IS,MM IS,MM IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,NACL IS,NACL IS,NACL IS,NACL IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,ONGC IS,PFIZ IS,PFIZ IS,PFIZ IS,PATNI IS,PFIZ IS,PFIZ IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,OBC IS,NIRMA IS,NIRMA IS,NIRMA IS,OBC IS,OBC IS,OBC IS,NIRMA IS,NIRMA IS,NIRMA IS
MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MRCO IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NHPC IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NMDC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,MPHL IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,MRPL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,PATNI IS,PATNI IS,PNB IS,PNB IS,PNB IS,PNB IS,PATNI IS,PATNI IS,PATNI IS,PNB IS,PNB IS,PNB IS,PFIZ IS,PIEL IS,PIEL IS,PFIZ IS,PFIZ IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OBC IS,OBC IS,OBC IS,OFSS IS,OFSS IS,OFSS IS,OBC IS,OBC IS,OBC IS
MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MRF IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NMDC IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,POWF IS,PNB IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,PJT IS,PJT IS,PJT IS,PIEL IS,PIEL IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS
MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,MSIL IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,NTPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OFSS IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PATNI IS,PATNI IS,PATNI IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PNB IS,PNB IS,PNB IS,PJT IS,PJT IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,ONGC IS,PATNI IS,PATNI IS,PATNI IS,ONGC IS,ONGC IS,ONGC IS
MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,MSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OINL IS,OINL IS,OINL IS,OINL IS,OFSS IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OINL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,POWF IS,POWF IS,POWF IS,PNB IS,PNB IS,PJT IS,PJT IS,PJT IS,PJT IS,PJT IS,PJT IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PFIZ IS,PATNI IS,PATNI IS,PATNI IS,PFIZ IS,PFIZ IS,PFIZ IS,PATNI IS,PATNI IS,PATNI IS
NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NHPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,OINL IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,ONGC IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,POL IS,POL IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PFIZ IS,PFIZ IS,PFIZ IS,PIEL IS,PIEL IS,PIEL IS,PFIZ IS,PFIZ IS,PFIZ IS
NIACL IS,NIACL IS,NIACL IS,NIACL IS,NIACL IS,NIACL IS,NIACL IS,NIACL IS,NIACL IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PG IS,PG IS,PG IS,PG IS,ONGC IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PLNG IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,PATNI IS,POWF IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,RCAPT IS,RCAPT IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCAPT IS,RCAPT IS,RCAPT IS,RCOM IS,RCOM IS,RCOM IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,POL IS,POL IS,POL IS,POL IS,POL IS,POL IS,PJT IS,PJT IS,PJT IS,PJT IS,PJT IS,PJT IS,PJT IS,PIEL IS,PIEL IS,PIEL IS,PJT IS,PJT IS,PJT IS,PIEL IS,PIEL IS,PIEL IS
NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,NMDC IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,PG IS,PG IS,PG IS,PG IS,PG IS,PG IS,PG IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PG IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,OINL IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PNB IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PUNJ IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RCOM IS,RCOM IS,RELI IS,RELI IS,RELI IS,RELI IS,RCOM IS,RCOM IS,RCOM IS,RELI IS,RELI IS,RELI IS,RCOM IS,RCOM IS,RCOM IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PNB IS,PJT IS,PJT IS,PJT IS,PNB IS,PNB IS,PNB IS,PJT IS,PJT IS,PJT IS
NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,NTPC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIDI IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,ONGC IS,PG IS,PG IS,PG IS,PG IS,PG IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,POWF IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,POWF IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RELI IS,RELI IS,RIL IS,RIL IS,RIL IS,RIL IS,RELI IS,RELI IS,RELI IS,RIL IS,RIL IS,RIL IS,RELI IS,RELI IS,RELI IS,RCOM IS,RCOM IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,POL IS,POL IS,POL IS,POL IS,POL IS,POL IS,POL IS,PNB IS,PNB IS,PNB IS,POL IS,POL IS,POL IS,PNB IS,PNB IS,PNB IS
OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,OFSS IS,PG IS,PG IS,PG IS,PG IS,PG IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PIEL IS,PLNG IS,PLNG IS,PLNG IS,PLNG IS,PIEL IS,PG IS,PG IS,PG IS,PG IS,PG IS,PG IS,PG IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PIDI IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,PWGR IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,PWGR IS,RCAPT IS,RCAPT IS,RCAPT IS,RCAPT IS,RCOM IS,RCOM IS,RCOM IS,RIL IS,RIL IS,RNR IS,RNR IS,RNR IS,RNR IS,RIL IS,RIL IS,RIL IS,RNR IS,RNR IS,RNR IS,RIL IS,RIL IS,RIL IS,RELI IS,RELI IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RCOM IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,RBXY IS,POL IS,POL IS,POL IS,RBXY IS,RBXY IS,RBXY IS,POL IS,POL IS,POL IS
